,Bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,No of seasons,Last 3 mean,Score
172,LJ Wright,,,,,12.0,9.61904761904762,,,,,2,,
173,LMP Simmons,,,,,,,11.33333333333333,,,,1,,
174,LPC Silva,21.0,,,,,,,,,,1,,
175,LR Shukla,9.692307692307693,6.954545454545455,9.0,,6.0,7.333333333333334,9.103448275862068,,,,6,,
176,LRPL Taylor,,11.14285714285714,,11.0,,,,,,,2,,
177,M Ashwin,,,,,,,,,8.352272727272727,,1,,
178,M de Lange,,,,,10.125,,7.615384615384614,6.923076923076922,,,3,,
179,M Kartik,8.898876404494382,5.914285714285715,6.57983193277311,7.846153846153847,7.120000000000001,7.219917012448132,11.14285714285714,,,,7,,
180,M Manhas,,,,6.0,,,,,,,1,,
181,M Morkel,,5.454545454545454,8.608695652173912,7.357664233576642,7.187660668380463,8.2834008097166,7.39672131147541,7.310344827586206,8.154545454545454,,8,,
182,M Muralitharan,6.764227642276422,5.269736842105263,6.980392156862745,7.435897435897436,6.465306122448981,8.170212765957446,7.575757575757575,,,,7,,
183,M Ntini,7.23943661971831,,,,,,,,,,1,,
184,M Vijay,,,,,,,13.0,7.0,6.857142857142857,,3,,
185,MA Khote,10.4,,,,,,,,,,1,,
186,MA Starc,,,,,,,7.394117647058824,6.75,,,2,,
187,Mashrafe Mortaza,,12.64285714285714,,,,,,,,,1,,
188,MB Parmar,,,10.42105263157895,,,,,,,,1,,
189,MC Henriques,,8.447368421052632,8.75,,,8.5,9.142857142857142,6.26751592356688,7.886792452830189,10.05405405405405,7,17.50565972774842,13.30339583664905
190,MF Maharoof,6.76991150442478,6.090909090909091,8.456375838926174,,,,,,,,3,,
191,MG Johnson,,,,,,7.012406947890819,7.941176470588236,8.987012987012987,9.391304347826088,7.055999999999999,5,20.730317334839075,14.438190400903446
192,MG Neser,,,,,,14.88,,,,,1,,
193,MJ Clarke,,,,,6.545454545454545,,,,,,1,,
194,MJ Henry,,,,,,,,,,13.74193548387097,1,,
195,MJ McClenaghan,,,,,,,,7.77049180327869,8.1144578313253,8.904347826086957,3,18.853065576632975,12.511839345979785
196,MK Tiwary,,11.0,9.428571428571429,10.61538461538461,,,14.0,,,,4,,
197,MM Patel,7.553571428571429,6.743119266055047,9.076923076923077,6.875379939209727,7.791666666666668,9.098901098901099,,,,8.285714285714285,7,,
198,MM Sharma,,,,,,6.308681672025723,8.462962962962964,8.262857142857143,8.092105263157894,8.92418772563177,5,19.329691647892293,13.597814988735376
199,MN Samuels,,,,,7.397727272727273,8.16,,,,11.33333333333333,3,,
200,Mohammad Asif,9.256281407035175,,,,,,,,,,1,,
201,Mohammad Hafeez,6.761904761904762,,,,,,,,,,1,,
202,Mohammad Nabi,,,,,,,,,,5.363636363636363,1,,
203,Mohammed Shami,,,,,,8.31578947368421,8.135231316725978,,9.692307692307693,9.018181818181818,4,,
204,Mohammed Siraj,,,,,,,,,,9.106382978723405,1,,
205,MP Stoinis,,,,,,,,,8.7,9.652173913043478,2,,
206,MR Marsh,,,8.34375,7.116279069767442,,9.049180327868852,,,4.909090909090909,,4,,
207,MS Gony,7.374663072776282,9.700934579439252,10.82352941176471,9.381818181818183,8.62251655629139,8.948571428571428,,,,12.8,7,,
208,Mustafizur Rahman,,,,,,,,,6.813829787234043,12.0,2,,
209,N Rana,,,,,,,,,3.0,,1,,
210,NB Singh,,,,,,,,,,4.32,1,,
211,ND Doshi,,,4.08,11.625,,,,,,,2,,
212,NJ Rimmington,,,,6.666666666666668,,,,,,,1,,
213,NL McCullum,,,,7.0,,,,,,,1,,
214,NLTC Perera,,,19.0,7.953488372093022,10.8,7.967479674796747,,8.91891891891892,9.683168316831683,,6,,
215,NM Coulter-Nile,,,,,,6.959999999999999,6.230769230769232,7.522727272727273,7.741935483870968,7.820224719101124,5,17.87140432963195,12.72284259777917
216,P Amarnath,10.95454545454545,,,,,,,,,,1,,
217,P Awana,,,,,7.743243243243244,7.518072289156628,10.19178082191781,,,,3,,
218,P Kumar,8.203636363636363,7.711538461538462,8.166666666666668,7.484098939929329,6.759493670886076,6.677966101694916,6.657534246575342,8.817391304347826,7.673981191222571,8.555555555555555,10,19.343224347422247,15.605934608453348
219,P Negi,,,,,6.902255639097743,6.461538461538462,10.6046511627907,8.491803278688526,9.333333333333334,6.06,6,19.845136612021857,14.307081967213113
220,P Parameswaran,,,,8.474226804123711,8.612903225806452,,,,,,2,,
221,P Prasanth,,,,18.0,,,,,,,1,,
222,P Sahu,,,,,,,,,8.523364485981308,,1,,
223,P Suyal,,,,,,6.947368421052633,10.0,8.686567164179104,,,3,,
224,Pankaj Singh,10.18421052631579,8.666666666666666,9.764705882352942,12.0,8.078740157480315,,,,,,5,,
225,Parvez Rasool,,,,,,5.8,8.892857142857142,6.200000000000001,9.285714285714286,,4,,
226,PC Valthaty,,,,7.795918367346939,16.0,,,,,,2,,
227,PD Collingwood,,,6.733333333333333,,,,,,,,1,,
228,PJ Cummins,,,,,,,7.25,9.363636363636363,,8.15916955017301,3,,
229,PJ Sangwan,8.55483870967742,7.555555555555556,7.839195979899499,,10.08,12.0,,,11.76,9.98181818181818,7,,
230,PM Sarvesh Kumar,8.129032258064516,,,,,,,,,,1,,
231,PP Chawla,8.307692307692307,7.010989010989011,7.520270270270271,8.063241106719367,7.369942196531792,7.380681818181819,7.663865546218487,7.783018867924529,7.583333333333332,8.803278688524589,10,18.30077843076606,14.980467058459634
232,PP Ojha,7.601694915254237,6.587155963302752,7.316666666666667,7.526785714285715,7.161290322580647,7.377358490566039,8.191489361702127,11.5,,,8,,
233,PV Tambe,,,,,,7.91304347826087,7.203947368421052,7.852941176470588,8.845360824742269,,4,,
234,R Ashwin,,3.5,6.222222222222221,6.202597402597402,6.55223880597015,6.728813559322036,7.060686015831135,5.725000000000001,6.928057553956835,,8,,
235,R Bhatia,8.28358208955224,6.902255639097743,8.326530612244898,6.587628865979382,7.430340557275541,7.533834586466166,7.422413793103448,9.4,7.182692307692307,7.674418604651163,10,19.140831842576027,15.484499105545614
236,R Dhawan,,,,,,7.263157894736842,7.612244897959183,8.430379746835442,7.466666666666666,,4,,
237,R McLaren,,,7.841860465116279,9.837837837837837,,12.39130434782609,,,,,3,,
238,R Ninan,,,,10.83333333333333,,,,,,,1,,
239,R Rampaul,,,,,,7.020746887966805,6.0,,,,2,,
240,R Sathish,,,9.529411764705882,7.935483870967741,,13.0,,,9.31578947368421,,4,,
241,R Sharma,,,8.095238095238095,5.52317880794702,8.169642857142858,6.850202429149797,10.83333333333333,,,,5,,
242,R Shukla,,,,,10.10526315789474,9.056603773584907,10.86206896551724,,,,3,,
243,R Tewatia,,,,,,,6.436363636363637,10.33333333333333,,5.563636363636363,3,,
244,R Vinay Kumar,7.78723404255319,8.231155778894472,8.535211267605634,7.446043165467627,8.46242774566474,8.307692307692307,9.092783505154639,8.399999999999999,6.842105263157895,9.3,10,18.342105263157894,15.005263157894737
245,RA Jadeja,9.692307692307693,6.5,,7.057471264367815,7.722222222222221,7.465648854961832,8.060240963855422,7.767441860465116,7.773279352226721,9.222707423580786,9,18.614957020552097,14.768974212331258
246,RA Shaikh,,11.0,,,,,,,,,1,,
247,RA Tripathi,,,,,,,,,,12.0,1,,
248,Rashid Khan,,,,,,,,,,6.731707317073171,1,,
249,RD Chahar,,,,,,,,,,7.695652173913043,1,,
250,RE van der Merwe,,7.55023923444976,6.0,6.197802197802199,5.901639344262295,6.35820895522388,,,,,5,,
251,RG More,,,,,,,,10.21621621621622,,,1,,
252,RG Sharma,6.24,6.985714285714286,8.016806722689076,12.72,16.0,4.0,8.666666666666666,,,,7,,
253,RJ Harris,,7.34375,7.353846153846154,8.155932203389831,7.486238532110091,6.0,,,,,5,,
254,RJ Peterson,,,,,8.75,,,,,,1,,
255,RN ten Doeschate,,,,6.0,6.857142857142857,8.0,7.0,3.428571428571428,,,5,,
256,RP Singh,8.473846153846154,6.753926701570681,8.68421052631579,6.974522292993632,7.569230769230769,8.03187250996016,,,9.0,,7,,
257,RR Bhatkal,,,,,17.5,,,,,,1,,
258,RR Bose,,12.0,,,,,,,,,1,,
259,RR Powar,7.246753246753246,6.272727272727273,6.791666666666666,9.333333333333334,10.66666666666667,,,,,,5,,
260,RR Raje,8.352941176470587,10.28571428571428,,,,,,,,,2,,
261,RS Bopara,,3.75,9.658536585365855,,,,,8.0,,,3,,
262,RS Gavaskar,,,8.0,,,,,,,,1,,
263,RV Gomez,,,,8.241758241758241,,5.0,,,,,2,,
264,RW Price,,,,11.0,,,,,,,1,,
265,S Aravind,,,,7.854166666666666,16.0,,,7.199999999999998,7.318681318681319,8.778947368421054,5,17.444997108155,12.466998264893
266,S Badree,,,,,,8.399999999999999,7.103448275862069,,,7.589403973509934,3,,
267,S Dhawan,,,,6.0,9.72972972972973,,,,,,2,,
268,S Gopal,,,,,,,7.976470588235295,10.61538461538461,6.333333333333334,,3,,
269,S Kaul,,,,,,7.759398496240602,9.951219512195122,,,8.226244343891402,3,,
270,S Kaushik,,,,,,,,,8.23943661971831,9.617647058823529,2,,
271,S Ladda,,,9.391304347826088,10.08,,9.0,,,10.5,,4,,
272,S Nadeem,,,,7.565217391304349,6.981818181818181,5.932584269662923,8.017021276595745,5.863636363636363,8.373626373626372,6.49090909090909,7,16.4008991008991,12.640539460539461
273,S Narwal,,,11.27272727272727,,,7.285714285714285,,,,,2,,
274,S Rana,,,,3.0,,,8.0,,,,2,,
275,S Randiv,,,,7.433333333333334,,,,,,,1,,
276,S Sreesanth,8.150602409638555,8.110344827586207,8.953125,6.174757281553398,,7.544117647058823,,,,,5,,
277,S Sriram,,,12.0,25.0,,,,,,,2,,
278,S Tyagi,,7.271186440677967,9.470588235294118,,,,,,,,2,,
279,S Vidyut,10.15384615384615,,,,,,,,,,1,,
280,SA Abbott,,,,,,,,10.6875,,,1,,
281,SA Yadav,,,,,,,8.0,,,,1,,
282,Sachin Baby,,,,,,,,,4.800000000000001,,1,,
283,Sandeep Sharma,,,,,,7.959183673469387,8.423529411764704,6.92604501607717,7.262135922330098,8.040000000000001,5,16.868180938407267,12.120908563044361
284,SB Bangar,8.666666666666666,,,,,,,,,,1,,
285,SB Jakati,,7.714285714285715,7.758620689655173,7.53903345724907,8.153225806451612,,11.18181818181818,,8.829268292682926,9.75,7,,
286,SB Joshi,8.945454545454545,,,,,,,,,,1,,
287,SB Styris,7.221556886227545,7.836734693877552,,13.0,,,,,,,3,,
288,SB Wagh,,,16.0,7.705882352941178,,,,,,,2,,
289,SC Ganguly,6.545454545454545,8.054794520547945,10.32,,9.540983606557377,,,,,,4,,
290,SD Chitnis,9.789473684210526,,,,,,,,,,1,,
291,SE Bond,,,7.068062827225131,,,,,,,,1,,
292,Shahid Afridi,7.686486486486487,,,,,,,,,,1,,
293,Shakib Al Hasan,,,,6.721518987341772,6.583783783783784,,6.625407166123779,8.292134831460675,7.800000000000002,11.33333333333333,6,19.869912609238455,14.321947565543073
294,Shivam Sharma,,,,,,,7.5625,14.66666666666667,,,2,,
295,Shoaib Ahmed,,8.970873786407767,,,,,,,,,1,,
296,Shoaib Akhtar,7.043478260869566,,,,,,,,,,1,,
297,Shoaib Malik,9.0,,,,,,,,,,1,,
298,SJ Srivastava,,,8.662921348314608,8.765625,,,,,,,2,,
299,SK Raina,9.0,6.071856287425151,7.387755102040817,7.248554913294797,7.482352941176471,11.5,7.431192660550457,7.23076923076923,8.262295081967213,8.5,10,18.326397646069776,14.995838587641865
300,SK Trivedi,8.14,7.414634146341465,7.321100917431193,8.223214285714285,7.166666666666666,6.929347826086957,,,,,6,,
301,SK Warne,7.692789968652037,7.073482428115017,7.652459016393442,6.251748251748253,,,,,,,4,,
302,SL Malinga,,6.147239263803681,6.967741935483872,5.939546599496222,6.068376068376068,7.223880597014926,6.592592592592593,7.19047619047619,,8.11149825783972,8,,
303,SM Boland,,,,,,,,,7.813953488372094,,1,,
304,SM Harwood,,6.626865671641792,,,,,,,,,1,,
305,SM Pollock,6.578571428571429,,,,,,,,,,1,,
